epoch,beta_obj,alpha,train_total_loss,train_traj_loss,train_semi_loss,train_energy_drop_loss,train_fixed_point_loss,train_active_energy_drop_rate,train_mean_rollout_flow_norm_sq,val_one_step_transported_final_energy,val_one_step_energy_delta_vs_identity,val_one_step_fixed_point_residual_delta_vs_identity,val_configured_transported_final_energy,val_configured_energy_delta_vs_identity,val_configured_fixed_point_residual_delta_vs_identity,val_accuracy,val_output_mse
1,0.0,1.0,1.2212809526784016e-05,4.061677978566238e-06,0.0,3.158466635776813e-05,2.5496495877574267e-06,0.13257068452380955,2.5496495877574267e-06,0.4832967447993653,-9.348294805067159e-05,-4.764503867982911e-07,0.4832900049267007,-0.00010022282071525668,-5.097226347600191e-07,0.1,0.09667804554948319
2,0.0,1.0,1.1681059452437064e-05,4.056101160768388e-06,0.0,2.9527499010535435e-05,2.430835390348176e-06,0.11915550595238096,2.430835390348176e-06,0.4681374731155457,-0.00010013857735913234,-5.177519745179818e-07,0.4681310226226171,-0.00010658907028776587,-5.506095087782061e-07,0.09259259259259259,0.09364752233858097
3,0.0,1.0,1.1156175947922654e-05,4.04712116699212e-06,0.0,2.7497333369744873e-05,2.347214384943148e-06,0.11047619047619048,2.347214384943148e-06,0.45812976686269075,-0.00010779387863057988,-5.629246989825182e-07,0.45812360418080184,-0.00011395656051949032,-5.948531296095475e-07,0.0962962962962963,0.09164751214826426
4,0.0,0.9413447860869009,1.0264827859832182e-05,3.6736915784265283e-06,7.1940655858108895e-09,2.5445035986502387e-05,2.298772847800562e-06,0.10578869047619048,2.298772847800562e-06,0.45133091319511226,-0.00011509937363662903,-6.052893466157981e-07,0.45132499208887117,-0.00012102047987772035,-6.362160917034354e-07,0.11851851851851852,0.09028920251374978
5,0.0,0.5586552139130994,7.66309929922119e-06,1.5540202119230878e-06,1.4312530846735634e-07,2.352869344935883e-05,2.2690572495839554e-06,0.102578125,2.2690572495839554e-06,0.44651393219773416,-0.00012178308486882061,-6.435129528353052e-07,0.4465082099519172,-0.0001275053306857843,-6.73481026806981e-07,0.12962962962962962,0.0893271430565206
6,0.0,0.5,6.885913360214473e-06,1.2859505079025373e-06,1.4707456299324088e-07,2.149760335261181e-05,2.255620141589824e-06,0.10128348214285714,2.255620141589824e-06,0.44294049645989747,-0.00012814584838510834,-6.792146956499418e-07,0.4429349468943012,-0.00013369541398139395,-7.082448543395566e-07,0.14444444444444443,0.08861372846165651
7,0.0,0.5,6.392182301707028e-06,1.282323173049529e-06,1.4703114438287491e-07,1.953946605620307e-05,2.2499261460673103e-06,0.09972098214285714,2.2499261460673103e-06,0.4401498622741697,-0.00013394609973965688,-7.111182582256951e-07,0.4401444625081947,-0.00013934586571462404,-7.392711589989081e-07,0.15555555555555556,0.08805676167478187
8,0.0,0.5,5.924959423323243e-06,1.2785337652059792e-06,1.4698612387021792e-07,1.7684652571349993e-05,2.252625152797651e-06,0.09759672619047619,2.252625152797651e-06,0.437853600783494,-0.00013960990764927406,-7.414617621394153e-07,0.4378483402649041,-0.00014487042623917423,-7.687549964931163e-07,0.1814814814814815,0.08759864213822866
9,0.0,0.5,5.3899595748926314e-06,1.2720010276411939e-06,1.4693749099163367e-07,1.5569417608348245e-05,2.25604145164376e-06,0.09590029761904761,2.25604145164376e-06,0.43587073479684174,-0.0001447253612287258,-7.681686377215206e-07,0.4358655681609263,-0.00014989199714415813,-7.94828384027233e-07,0.2074074074074074,0.0872030920316141
10,0.0,0.5,4.854845017704781e-06,1.2634265714779436e-06,1.468893969167219e-07,1.34586203839877e-05,2.2676335022991202e-06,0.09381324404761905,2.2676335022991202e-06,0.4340803267384762,-0.00014966248310083197,-7.932384542709949e-07,0.43407524617947785,-0.00015474304209917022,-8.193008966600121e-07,0.24074074074074073,0.0868459978443154
11,0.0,0.5,4.411765331942068e-06,1.2555907857727452e-06,1.468391302304985e-07,1.171263440228567e-05,2.28015945597905e-06,0.09303199404761905,2.28015945597905e-06,0.4324228891491805,-0.00015467598977286778,-8.181262743093458e-07,0.43241792610827745,-0.00015963903067589547,-8.434090040088755e-07,0.26296296296296295,0.08651551302779067
12,0.0,0.5,3.900547995394351e-06,1.247144664444051e-06,1.4678744214608903e-07,9.692883939069747e-06,2.3018234618286354e-06,0.08908854166666666,2.3018234618286354e-06,0.4308632734124915,-0.00015893668917976722,-8.383175835144396e-07,0.4308583039298579,-0.00016390617181333278,-8.63487155410204e-07,0.2851851851851852,0.08620444202033425
13,0.0,0.5,3.4861380904414933e-06,1.2372100881132504e-06,1.4673684363964303e-07,8.066613806292979e-06,2.322745507549982e-06,0.08414434523809525,2.322745507549982e-06,0.4293636584890713,-0.00016355241430859868,-8.598310096081315e-07,0.42935876680663715,-0.00016844409674277028,-8.84438533563616e-07,0.3111111111111111,0.08590544218067599
14,0.0,0.5,3.0895437053391345e-06,1.226707653595203e-06,1.4668380233755278e-07,6.510604991990252e-06,2.351848037463688e-06,0.0788095238095238,2.351848037463688e-06,0.42790592451404946,-0.00016808753960195766,-8.802603642591562e-07,0.42790109956884276,-0.00017291248480866273,-9.043856227523752e-07,0.3296296296296296,0.08561480241073029
15,0.0,0.5,2.7157725881478555e-06,1.2166456027334543e-06,1.4662958937719354e-07,5.042410371200785e-06,2.385243926142052e-06,0.07074032738095239,2.385243926142052e-06,0.4264927692320629,-0.0001725932836711408,-9.00027962150629e-07,0.42648797699965796,-0.00017738551607610065,-9.238247676407712e-07,0.35185185185185186,0.08533307250314681
16,0.0,0.5,2.370353906656931e-06,1.2072604594320828e-06,1.465786625677861e-07,3.6832387560011225e-06,2.422837582245671e-06,0.06284226190476191,2.422837582245671e-06,0.42510459144168644,-0.0001772411786453154,-9.200214590615629e-07,0.4250998748645426,-0.00018195775578916384,-9.432838954548546e-07,0.36666666666666664,0.08505636652406634
17,0.0,0.5,2.0889324965872883e-06,1.1969120756803007e-06,1.465278486503262e-07,2.5850378089099003e-06,2.4576096867951308e-06,0.051819196428571426,2.4576096867951308e-06,0.4237440134698816,-0.00018221463086842693,-9.411655346521647e-07,0.42373943087938126,-0.00018679722136877297,-9.63585235575832e-07,0.37407407407407406,0.08478524562015001
18,0.0,0.5,1.8846439097301569e-06,1.1864796383256366e-06,1.4647849023145114e-07,1.7987234803073165e-06,2.4848340132769094e-06,0.04110119047619047,2.4848340132769094e-06,0.42240274585812126,-0.0001867487053969774,-9.595892242969875e-07,0.42239819354665575,-0.00019130101686248846,-9.817073137840637e-07,0.37777777777777777,0.08451789891270366
19,0.0,0.5,1.758434137712338e-06,1.1742215448106564e-06,1.4641838691459646e-07,1.3285419940592467e-06,2.5207709438687032e-06,0.03259300595238095,2.5207709438687032e-06,0.42108219944321956,-0.0001915730973213181,-9.790316821688431e-07,0.4210777377868092,-0.00019603475373169976,-1.0005412331054767e-06,0.3962962962962963,0.08425475450810817
20,0.0,0.5,1.6408581457191622e-06,1.1638591329139038e-06,1.463687483581726e-07,8.840161751246694e-07,2.5599496902409104e-06,0.024304315476190476,2.5599496902409104e-06,0.4197813417759481,-0.0001959702842136979,-9.958931025845627e-07,0.41977686429931177,-0.00020044776085004212,-1.017328473955386e-06,0.4148148148148148,0.08399546241203236
21,0.0,0.5,1.5866785885083714e-06,1.153964968607302e-06,1.463203750279329e-07,6.93599280444446e-07,2.5931379978995785e-06,0.020788690476190478,2.5931379978995785e-06,0.41849500268086315,-0.00020076488785836233,-1.0143236418838554e-06,0.41849055741514607,-0.00020521015357544137,-1.0354391350254953e-06,0.42962962962962964,0.0837391535137443
22,0.0,0.5,1.548264753098811e-06,1.1437546002503955e-06,1.4627072947226359e-07,5.563408280194254e-07,2.6542494584355905e-06,0.016015625,2.6542494584355905e-06,0.4172289051237813,-0.00020530036386601225,-1.0309529328201997e-06,0.417224447619274,-0.0002097578683732948,-1.0520003560738971e-06,0.44074074074074077,0.08348684109752946
23,0.0,0.5,1.511352618384009e-06,1.1333891320863599e-06,1.4622009181814707e-07,4.3398287813761155e-07,2.6946776676324628e-06,0.0140625,2.6946776676324628e-06,0.4159771549666196,-0.00021030969761409724,-1.049539463132622e-06,0.41597274231188675,-0.00021472235234692993,-1.07022729275237e-06,0.43703703703703706,0.08323749293284673
24,0.0,0.5,1.4925999782255742e-06,1.1235653400567046e-06,1.4617119220099316e-07,3.7791196766331655e-07,2.7455664625304037e-06,0.0125,2.7455664625304037e-06,0.4147438275191685,-0.00021512793005012965,-1.066937145770768e-06,0.4147394702969271,-0.00021948515229153198,-1.0872053839268642e-06,0.43703703703703706,0.08299179108984372
25,0.0,0.5,1.4737789421529435e-06,1.1145796646671755e-06,1.4611953574064513e-07,3.187849856313993e-07,2.7950303107791792e-06,0.01015625,2.7950303107791792e-06,0.41352329176546776,-0.0002201621996059111,-1.0850162215508298e-06,0.4135190219087202,-0.00022443205635347407,-1.1047269114772002e-06,0.43703703703703706,0.08274869079301474
26,0.0,0.5,1.456304664742645e-06,1.1045776471535458e-06,1.4606952238091328e-07,2.701577483903931e-07,2.8418758049150096e-06,0.0109375,2.8418758049150096e-06,0.4123193424527606,-0.0002250483225171851,-1.1020077218769613e-06,0.4123151009030773,-0.0002292898722004444,-1.1214507881430926e-06,0.45555555555555555,0.08250887815505556
27,0.0,0.5,1.4411939706557623e-06,1.0939589821386456e-06,1.4601900801087742e-07,2.2907652398012744e-07,2.899658575220848e-06,0.009375,2.899658575220848e-06,0.41112834449415137,-0.0002297657880070969,-1.1179034790791446e-06,0.41112408939966966,-0.0002340208824888057,-1.1372857495794747e-06,0.46296296296296297,0.0822716220564317
28,0.0,0.5,1.4532028797659629e-06,1.0858598148905602e-06,1.4597151673658009e-07,2.905258545504762e-07,2.947116012377834e-06,0.010546875,2.9471160123778345e-06,0.409955494592688,-0.00023459179194690316,-1.1338475270004347e-06,0.40995119051465473,-0.00023889586998016021,-1.1533497716015957e-06,0.4703703703703704,0.08203801727692699
29,0.0,0.5,1.4447994771856002e-06,1.075744672624457e-06,1.4591640164146831e-07,2.7646922851210907e-07,2.999374974331159e-06,0.009765625,2.999374974331159e-06,0.4087949731699352,-0.00023994542247690598,-1.152184448705853e-06,0.408790731889205,-0.00024418670320708324,-1.1712513212959745e-06,0.4703703703703704,0.08180698371848241
30,0.0,0.5,1.429439734758567e-06,1.0678344482391305e-06,1.458767128051728e-07,2.2189513826816315e-07,3.0613150195239553e-06,0.00859375,3.0613150195239553e-06,0.40765528811963914,-0.0002452635929759417,-1.1700037118039395e-06,0.40765110235365576,-0.0002494493589593194,-1.188681856278067e-06,0.4740740740740741,0.08158011034252301
31,0.0,0.5,1.4388250405030263e-06,1.0579328661686333e-06,1.4582858474934477e-07,2.7500744017620266e-07,3.121403142903424e-06,0.009765625,3.121403142903424e-06,0.40652341845575646,-0.0002505103218093385,-1.1871484236041505e-06,0.4065192537213585,-0.0002546750562072986,-1.2056264791990019e-06,0.4703703703703704,0.08135478575551316
32,0.0,0.5,1.4337074607103857e-06,1.0494288453663398e-06,1.4577888952407667e-07,2.6798640118115385e-07,3.172820150487575e-06,0.008984375,3.172820150487575e-06,0.4054058972961903,-0.00025582531541812337,-1.2045011554630595e-06,0.4054017592845739,-0.0002599633270345403,-1.222723334797979e-06,0.4740740740740741,0.0811323445223217
33,0.0,0.5,1.4309133707490473e-06,1.0410111305445537e-06,1.4573047102140157e-07,2.655570648383643e-07,3.2351297399490265e-06,0.008984375,3.2351297399490265e-06,0.4042991303574044,-0.00026128575345274463,-1.2222276142744568e-06,0.4042950399752097,-0.0002653761356474216,-1.24011254770974e-06,0.4777777777777778,0.08091208322217143
34,0.015625,0.5,1.407517646764912e-06,1.0318932831202671e-06,1.4568311788277366e-07,2.370808394439516e-07,3.3020118761549285e-06,0.008203125,3.3020118761549285e-06,0.40320615085764777,-0.00026670065423767264,-1.2395238034938446e-06,0.40320210359730635,-0.00027074791457909475,-1.2570981424852462e-06,0.48148148148148145,0.08069457030237709
35,0.03125,0.5,1.381492707300436e-06,1.0241542544051229e-06,1.4563983294916365e-07,2.005824268299265e-07,3.3464642185833004e-06,0.008288690476190476,3.3464642185833004e-06,0.40212429878538997,-0.00027195482774750035,-1.2559532254844677e-06,0.4021202302061571,-0.00027602340698035244,-1.273485438403328e-06,0.4925925925925926,0.0804792507226275
36,0.046875,0.5,1.3746728464234886e-06,1.017131901297426e-06,1.4559859810312576e-07,2.2570525292280127e-07,3.419677554825949e-06,0.00625,3.419677554825949e-06,0.40105866185061817,-0.00027730224966387995,-1.2725057695585557e-06,0.40105460964916917,-0.0002813544511128807,-1.289861997139216e-06,0.5,0.0802671928200564
37,0.0625,0.5,1.364560227177685e-06,1.008950419221249e-06,1.4554895484187578e-07,2.4356974326446896e-07,3.486799636640294e-06,0.007421875,3.486799636640294e-06,0.40000603054480155,-0.00028291950298448,-1.290098126933238e-06,0.4000020369066957,-0.00028691314109030586,-1.3070864359262938e-06,0.5111111111111111,0.0800577900095572
38,0.078125,0.5,1.3381228208069684e-06,1.0010895856700158e-06,1.4550525639210585e-07,1.9003096575840717e-07,3.563680194221874e-06,0.00625,3.563680194221874e-06,0.3989652648207366,-0.0002880350411305632,-1.3051599778357223e-06,0.3989612101386521,-0.0002920897232150388,-1.3223503312145303e-06,0.5148148148148148,0.07985065997237344
39,0.09375,0.5,1.324208674138054e-06,9.93515675980077e-07,1.4545830780827617e-07,1.88207444997931e-07,3.631465151746007e-06,0.00625,3.631465151746007e-06,0.3979331847374769,-0.0002935848970244681,-1.321997120540063e-06,0.3979291667542228,-0.0002976028802785802,-1.3389498477119652e-06,0.5222222222222223,0.07964535392690028
40,0.109375,0.5,1.3166723054677077e-06,9.875744917129129e-07,1.4542040628982628e-07,2.0904805958436682e-07,3.6894640195185307e-06,0.00625,3.6894640195185307e-06,0.39691970767558366,-0.0002995094115628705,-1.3404624000988802e-06,0.39691581511443136,-0.0003034019727151671,-1.356763341355178e-06,0.5370370370370371,0.0794438434174293
41,0.125,0.5,1.300038905907289e-06,9.80699651996969e-07,1.4537471613154606e-07,1.9662534092178188e-07,3.7459853566305246e-06,0.00546875,3.7459853566305246e-06,0.39591162520270884,-0.0003052831206861173,-1.3580342363078766e-06,0.3959078045727427,-0.00030910375065223983,-1.373928787446626e-06,0.5481481481481482,0.079243381664679
42,0.140625,0.5,1.2865921865585711e-06,9.740307079539764e-07,1.453355016079925e-07,1.8410559428471816e-07,3.830703434258193e-06,0.00546875,3.830703434258193e-06,0.3949207039298097,-0.0003112477205703956,-1.3762872656053005e-06,0.39491702152432606,-0.00031493012605404713,-1.3915031689571843e-06,0.5518518518518518,0.07904639033007603
43,0.15625,0.5,1.2711718356254216e-06,9.669897418420206e-07,1.4529096506294334e-07,1.709746566365064e-07,3.898288634960056e-06,0.00546875,3.898288634960056e-06,0.39394422678632435,-0.0003169188305220394,-1.3929816864908758e-06,0.39394055615041124,-0.0003205894664351505,-1.4080729910663948e-06,0.5592592592592592,0.07885222912336927
44,0.171875,0.5,1.2544336330832792e-06,9.595711218239511e-07,1.452462523783625e-07,1.542346475034203e-07,3.962659363194336e-06,0.005859375,3.962659363194336e-06,0.3929716092445947,-0.0003229029668667671,-1.4110597490613204e-06,0.3929680803911036,-0.0003264318203578531,-1.4254462573751224e-06,0.5740740740740741,0.07865890244229229
45,0.1875,0.5,1.2426417676331804e-06,9.53936009782906e-07,1.4521246393022972e-07,1.435330771338639e-07,4.044581534141851e-06,0.00546875,4.044581534141851e-06,0.392014371424715,-0.00032830068895051134,-1.426378371103908e-06,0.3920107596222495,-0.00033191249141600876,-1.4410426034344e-06,0.5888888888888889,0.0784685344227331
