epoch,beta_obj,trajectory_objective_weight,semigroup_objective_weight,alpha,train_total_loss,train_traj_loss,train_semi_loss,train_energy_drop_loss,train_fixed_point_loss,train_active_energy_drop_rate,train_mean_rollout_flow_norm_sq,val_one_step_transported_final_energy,val_one_step_energy_delta_vs_identity,val_one_step_fixed_point_residual_delta_vs_identity,val_configured_transported_final_energy,val_configured_energy_delta_vs_identity,val_configured_fixed_point_residual_delta_vs_identity,val_accuracy,val_output_mse
1,0.0,1.0,0.0,1.0,1.4376989327069146e-05,4.0615377109104645e-06,0.0,4.024594556117811e-05,2.539652258641541e-06,0.2333296130952381,2.5396522586415413e-06,0.4832965938680758,-9.356301106167031e-05,-4.768558358509323e-07,0.48328985522337686,-0.00010030165576058181,-5.101221551983713e-07,0.1,0.09667803137582748
2,0.0,1.0,0.0,1.0,1.3770457069073515e-05,4.0556730667129115e-06,0.0,3.789073463134593e-05,2.4210034452411828e-06,0.2184375,2.4210034452411828e-06,0.46813718030394696,-0.00010025063829799397,-5.183315994899431e-07,0.46813073216192624,-0.00010669878031871471,-5.511775160914009e-07,0.09259259259259259,0.093647486188449
3,0.0,1.0,0.0,1.0,1.3104528663551323e-05,4.046495991506152e-06,0.0,3.529722344233577e-05,2.337268114612272e-06,0.20975818452380954,2.337268114612272e-06,0.4581293815006402,-0.00010791514262759039,-5.635609672536342e-07,0.45812322221716595,-0.00011407442610184004,-5.954723473978118e-07,0.0962962962962963,0.09164745932865355
4,0.0,1.0,0.0,0.9413447860869009,1.2048624700060011e-05,3.6729393639844536e-06,7.194018101025681e-09,3.258727260940475e-05,2.2886718372437223e-06,0.20146949404761907,2.2886718372437223e-06,0.45133048251231067,-0.00011521781617596094,-6.059164586741524e-07,0.4513245656999446,-0.00012113462854201895,-6.368214697176735e-07,0.11851851851851852,0.09028914006569733
5,0.0,1.0,0.0,0.5586552139130994,9.291422916102366e-06,1.5535386516347935e-06,1.4312418900831397e-07,3.0047980562955762e-05,2.258891237286325e-06,0.19708705357142858,2.258891237286325e-06,0.44651348509691474,-0.00012189619114755246,-6.441152423739146e-07,0.4465077680132083,-0.00012761327485399931,-6.740570525043637e-07,0.12962962962962962,0.08932707625761246
6,0.0,1.0,0.0,0.5,8.325849483743116e-06,1.2855132204484456e-06,1.4707329261256278e-07,2.7263277150148364e-05,2.245169757575817e-06,0.19371651785714286,2.245169757575817e-06,0.44294006058735036,-0.00012825157382900798,-6.797791767049124e-07,0.44293451696517544,-0.00013379519600392742,-7.087790275216166e-07,0.14444444444444443,0.08861366243223588
7,0.0,1.0,0.0,0.5,7.685531399038622e-06,1.2818496632065689e-06,1.4702975506285786e-07,2.4719009347800805e-05,2.2392939888185266e-06,0.18838169642857144,2.2392939888185266e-06,0.44014944898689345,-0.00013404392199245496,-7.116408128673968e-07,0.4401440558275552,-0.00013943708133068444,-7.397600316165075e-07,0.15555555555555556,0.08805669858177718
8,0.0,1.0,0.0,0.5,7.0769948193668924e-06,1.2780592689194282e-06,1.4698468728246497e-07,2.2299008367403495e-05,2.2418345859658952e-06,0.17857886904761905,2.2418345859658952e-06,0.43785321270452915,-0.0001397007458557864,-7.41946094219635e-07,0.437847959255566,-0.0001449541948189137,-7.692033825137576e-07,0.17777777777777778,0.08759858269007699
9,0.0,1.0,0.0,0.5,6.38514700794957e-06,1.2715434010288735e-06,1.469360613882681e-07,1.9556352203718312e-05,2.245155559911192e-06,0.1694122023809524,2.245155559911192e-06,0.43587037672263784,-0.00014480902893687642,-7.686130264011025e-07,0.4358652173645146,-0.0001499683870601065,-7.952359728262621e-07,0.2074074074074074,0.08720303715031494
10,0.0,1.0,0.0,0.5,5.7389223114359225e-06,1.2630155925145452e-06,1.4688804391816744e-07,1.7001027047983833e-05,2.256499569254188e-06,0.15803571428571428,2.256499569254188e-06,0.43408000962347815,-0.00014973770568810219,-7.936355601575258e-07,0.43407493627697435,-0.0001548110521918944,-8.196618425390461e-07,0.24444444444444444,0.08684594946583325
11,0.0,1.0,0.0,0.5,5.2212511791721725e-06,1.2552417741330017e-06,1.4683790560450013e-07,1.4956484095473974e-05,2.26888381170677e-06,0.1478422619047619,2.2688838117067696e-06,0.4324226056421893,-0.00015474414794847124,-8.184832889621856e-07,0.4324176495032963,-0.00015970028684147985,-8.437318263214042e-07,0.26296296296296295,0.08651546995802756
