target_snapshot_mode,candidate_key,psi_family,time_encoding_variant,seed,epoch,mean_relative_bootstrap_target_delta,mean_relative_identity_target_delta,mean_bootstrap_target_cosine_similarity,mean_identity_target_cosine_similarity
live_target_snapshot,baseline_plain_raw,baseline_plain,raw,0,1,0.17780467770249958,0.003880193625185316,0.9827224128039743,0.9999896312672426
live_target_snapshot,baseline_plain_raw,baseline_plain,raw,0,2,0.21266048231057413,0.004639852647223119,0.9777936891019389,0.999986271008383
live_target_snapshot,baseline_plain_raw,baseline_plain,raw,0,3,0.24698469830713546,0.005567549603338076,0.9707958268721673,0.9999805604813823
live_target_snapshot,baseline_plain_raw,baseline_plain,raw,0,4,0.2669479588897775,0.006099292208780976,0.9665085366411275,0.9999771299247666
live_target_snapshot,baseline_plain_raw,baseline_plain,raw,0,5,0.23883940772871642,0.005416432647013848,0.9726538543706266,0.9999819766192447
live_target_snapshot,baseline_plain_raw,baseline_plain,raw,0,6,0.19119550229941135,0.004388466376105445,0.982217945686059,0.9999882483875109
live_target_snapshot,baseline_plain_raw,baseline_plain,raw,0,7,0.1436488448860475,0.0033032832417828097,0.9898252993291502,0.9999933818732989
live_target_snapshot,baseline_plain_raw,baseline_plain,raw,0,8,0.11842248549218486,0.002785153054883498,0.993176541468662,0.9999953139635267
live_target_snapshot,baseline_plain_raw,baseline_plain,raw,0,9,0.0989303266532568,0.0023831635674472352,0.9952805502250992,0.9999966439345732
live_target_snapshot,baseline_plain_raw,baseline_plain,raw,0,10,0.08329419327596296,0.002124056053759874,0.9966633743717294,0.999997383637844
live_target_snapshot,baseline_plain_raw,baseline_plain,raw,0,11,0.07576006956137288,0.0019808186203460437,0.9972487987755982,0.9999977615127253
live_target_snapshot,baseline_plain_raw,baseline_plain,raw,0,12,0.07516717176367899,0.0020009919448060547,0.9973098061217225,0.9999976791891566
live_target_snapshot,baseline_plain_raw,baseline_plain,raw,0,13,0.06689358301045825,0.0018316881890288032,0.9978940405839978,0.9999981306754403
live_target_snapshot,baseline_plain_raw,baseline_plain,raw,0,14,0.06615499382202338,0.0019219524077621823,0.9979337954868504,0.9999978873903844
live_target_snapshot,baseline_plain_raw,baseline_plain,raw,0,15,0.07285918944041506,0.0020316747326186895,0.9974400859883319,0.9999975060414235
live_target_snapshot,baseline_plain_raw,baseline_plain,raw,0,16,0.06402265330624138,0.0018299400962709812,0.9980346578438242,0.9999980534286832
live_target_snapshot,baseline_plain_raw,baseline_plain,raw,0,17,0.06655153564800628,0.0018965843954559687,0.9978806399830982,0.9999978952085458
live_target_snapshot,baseline_plain_raw,baseline_plain,raw,0,18,0.06564085551256105,0.00192588304009786,0.997956314775639,0.9999978582036727
live_target_snapshot,baseline_plain_raw,baseline_plain,raw,0,19,0.07277723991804773,0.0022114427051649088,0.9974918205313736,0.9999972242379196
live_target_snapshot,baseline_plain_raw,baseline_plain,raw,0,20,0.0689322770348755,0.002016812428138346,0.9976662373562737,0.9999975290630132
live_target_snapshot,baseline_plain_raw,baseline_plain,raw,0,21,0.06275084074139317,0.001852915223862605,0.9981484936534064,0.9999980120006022
live_target_snapshot,baseline_plain_raw,baseline_plain,raw,0,22,0.06028676842079513,0.001818481283517853,0.9983051065972642,0.9999981360452648
live_target_snapshot,baseline_plain_raw,baseline_plain,raw,0,23,0.06932823033601168,0.002062102113150863,0.9977011849972431,0.9999975033002517
live_target_snapshot,baseline_plain_raw,baseline_plain,raw,0,24,0.07362565850092148,0.0022180607232232595,0.9974809775875736,0.9999971603337002
live_target_snapshot,baseline_plain_raw,baseline_plain,raw,0,25,0.06857580901519454,0.002013729904862564,0.9977808528841727,0.9999975981002684
live_target_snapshot,baseline_plain_raw,baseline_plain,raw,0,26,0.06018552980917362,0.0018411762027088746,0.9982956867577272,0.9999980809906008
live_target_snapshot,baseline_plain_raw,baseline_plain,raw,0,27,0.06242299913358932,0.0018915097482887686,0.9981548600502702,0.9999978895995124
live_target_snapshot,baseline_plain_raw,baseline_plain,raw,0,28,0.05670012346682154,0.0016930576636900862,0.9984987385710197,0.9999983650545385
live_target_snapshot,baseline_plain_raw,baseline_plain,raw,0,29,0.06674038106364487,0.0020751322311961034,0.9979372932260462,0.9999975581256806
live_target_snapshot,baseline_plain_raw,baseline_plain,raw,0,30,0.05757242728190206,0.0018145618317810318,0.9984272234858832,0.999998079862048
live_target_snapshot,baseline_plain_raw,baseline_plain,raw,0,31,0.06261399779320355,0.0019478540641443744,0.9981575070070219,0.9999978694817079
live_target_snapshot,baseline_plain_raw,baseline_plain,raw,0,32,0.06927116046699602,0.0021831606314848214,0.9977425061015778,0.9999972481808888
live_target_snapshot,baseline_plain_raw,baseline_plain,raw,0,33,0.06787218513763862,0.0020993751807996926,0.9978554776196775,0.9999975295306467
live_target_snapshot,baseline_plain_raw,baseline_plain,raw,0,34,0.06099048039944573,0.0019712390626563576,0.9982504707472264,0.9999977649809004
live_target_snapshot,baseline_plain_raw,baseline_plain,raw,0,35,0.05916864854686917,0.0019440125851105283,0.9983723901397695,0.9999978309004792
live_target_snapshot,baseline_plain_raw,baseline_plain,raw,0,36,0.05930367930812941,0.00201340606455964,0.9983032365696278,0.999997610186702
live_target_snapshot,baseline_plain_raw,baseline_plain,raw,0,37,0.05604816922437349,0.0017960454374165817,0.9985602496806691,0.9999981808329655
live_target_snapshot,baseline_plain_raw,baseline_plain,raw,0,38,0.05719346656813666,0.001825389023010131,0.9984341628937873,0.9999980940158618
live_target_snapshot,baseline_plain_raw,baseline_plain,raw,0,39,0.058712506600690675,0.001880689966831622,0.9983495500282678,0.9999979172704714
live_target_snapshot,baseline_plain_raw,baseline_plain,raw,0,40,0.052481806556970476,0.0016726186286661257,0.99868214035942,0.9999983121818763
live_target_snapshot,baseline_plain_raw,baseline_plain,raw,0,41,0.0647086913278346,0.00209903977476469,0.9980375745060623,0.9999974820434332
live_target_snapshot,baseline_plain_raw,baseline_plain,raw,0,42,0.0577765484882395,0.0018648142880522457,0.9983595466090456,0.9999979391121672
live_target_snapshot,baseline_plain_raw,baseline_plain,raw,0,43,0.05668226950621115,0.0019606918547633396,0.9984868176262582,0.9999978066936203
live_target_snapshot,baseline_plain_raw,baseline_plain,raw,0,44,0.05977675634655753,0.0019686998562149735,0.9983585045199248,0.9999977875018565
live_target_snapshot,baseline_plain_raw,baseline_plain,raw,0,45,0.059941477479592976,0.0020280435475886456,0.9983426641325692,0.9999976493004447
live_target_snapshot,baseline_plain_raw,baseline_plain,raw,0,46,0.05378570961989167,0.0017553463594315686,0.998652689086345,0.9999982287124185
live_target_snapshot,baseline_plain_raw,baseline_plain,raw,0,47,0.05728844167446191,0.0019255858913737674,0.9984410566627681,0.9999977844694099
live_target_snapshot,baseline_plain_raw,baseline_plain,raw,0,48,0.060949308296618085,0.0020075387471461294,0.9981759670865056,0.9999975677929914
live_target_snapshot,baseline_plain_raw,baseline_plain,raw,0,49,0.06150685578000398,0.002015597238385349,0.9981545454429798,0.9999974487396124
live_target_snapshot,baseline_plain_raw,baseline_plain,raw,0,50,0.061166017005914765,0.0020280740468135265,0.9982441846176199,0.9999974693324483
live_target_snapshot,baseline_plain_raw,baseline_plain,raw,0,51,0.05689545885285339,0.0018622487389167229,0.9984583906919605,0.999997925684025
live_target_snapshot,baseline_plain_raw,baseline_plain,raw,0,52,0.06603053553232828,0.0021802819855685934,0.9979928455535496,0.9999973169100551
live_target_snapshot,baseline_plain_raw,baseline_plain,raw,0,53,0.050080255139518595,0.0016959891116384899,0.9988156741294129,0.9999983060381685
live_target_snapshot,baseline_plain_raw,baseline_plain,raw,0,54,0.062373128580567996,0.002029785275922174,0.9981107666942707,0.9999975057886538
live_target_snapshot,baseline_plain_raw,baseline_plain,raw,0,55,0.052770476410110324,0.001694167692272406,0.9986458505692584,0.9999983145072004
live_target_snapshot,baseline_plain_raw,baseline_plain,raw,0,56,0.056336167953300244,0.0018291172746348588,0.9985329108973687,0.9999980366814967
live_target_snapshot,baseline_plain_raw,baseline_plain,raw,0,57,0.058631195894412735,0.001975637609786828,0.9983540932775454,0.9999976576798444
live_target_snapshot,baseline_plain_raw,baseline_plain,raw,0,58,0.052822060595917986,0.0016838070327192204,0.9986470793368663,0.9999983029392997
live_target_snapshot,baseline_plain_raw,baseline_plain,raw,0,59,0.06310015203073968,0.0021663122666826283,0.9981142278358497,0.9999971531875758
live_target_snapshot,baseline_plain_raw,baseline_plain,raw,0,60,0.058085391403561656,0.0019007080868541429,0.9983072742328012,0.9999977412239867
