case_name,seed,run_id,run_summary_path,intervention_step_offsets,direction_source_mode,norm_handling_mode,handoff_mode,run_status,failure_kind,nan_incidence_flag,selected_epoch,val_accuracy,test_accuracy,gate_passing_epoch_count,seed_gate_positive,selected_epoch_passes_gate,selector_fallback_used,val_transported_final_energy,val_report_output_mse,val_terminal_rowspace_rms,val_terminal_rowspace_fraction,runtime_proxy_seconds
adopted_control_terminal_only,0,adopted_control_terminal_only_s0,runs/adopted_control_terminal_only/seed_0/summary.json,-1,detached_local_field,keep_live_norm,live_onpolicy,success,,0.0,53,0.774074074074074,0.8037037037037037,11,1.0,1.0,0.0,0.3137282688131667,0.06320277364531794,0.14641771874107942,0.5336663837896631,20.678058299999975
adopted_control_terminal_only,1,adopted_control_terminal_only_s1,runs/adopted_control_terminal_only/seed_1/summary.json,-1,detached_local_field,keep_live_norm,live_onpolicy,success,,0.0,56,0.8629629629629629,0.8333333333333334,23,1.0,1.0,0.0,0.2883009074387914,0.05881460861610098,0.15597799093227577,0.5539221551181891,19.506166900002427
adopted_control_terminal_only,2,adopted_control_terminal_only_s2,runs/adopted_control_terminal_only/seed_2/summary.json,-1,detached_local_field,keep_live_norm,live_onpolicy,success,,0.0,51,0.7962962962962963,0.8222222222222222,18,1.0,1.0,0.0,0.3111068208914448,0.06305214040572814,0.16463456848443525,0.5496282608980444,19.424061800000345
adopted_control_terminal_only,3,adopted_control_terminal_only_s3,runs/adopted_control_terminal_only/seed_3/summary.json,-1,detached_local_field,keep_live_norm,live_onpolicy,success,,0.0,54,0.8703703703703703,0.8518518518518519,13,1.0,1.0,0.0,0.2945268064645564,0.059640845476171794,0.15290771608757003,0.5324077082109361,19.61462340000071
adopted_control_terminal_only,4,adopted_control_terminal_only_s4,runs/adopted_control_terminal_only/seed_4/summary.json,-1,detached_local_field,keep_live_norm,live_onpolicy,success,,0.0,60,0.8740740740740741,0.8592592592592593,19,1.0,1.0,0.0,0.286513578402705,0.058992928117672955,0.1481421455651277,0.5543285665615998,19.274448400003166
failed_penultimate_plus_terminal_live,0,failed_penultimate_plus_terminal_live_s0,runs/failed_penultimate_plus_terminal_live/seed_0/summary.json,"-2,-1",detached_local_field,keep_live_norm,live_onpolicy,success,,0.0,50,0.825925925925926,0.8407407407407408,0,0.0,0.0,1.0,0.30528628947565317,0.05845800020994699,0.13922456555203275,0.4892853350584122,18.963123900004575
failed_penultimate_plus_terminal_live,1,failed_penultimate_plus_terminal_live_s1,runs/failed_penultimate_plus_terminal_live/seed_1/summary.json,"-2,-1",detached_local_field,keep_live_norm,live_onpolicy,success,,0.0,56,0.8814814814814815,0.8592592592592593,0,0.0,0.0,1.0,0.2836394620279154,0.05643809337796557,0.1441542335521446,0.513137168510106,19.0033626000004
failed_penultimate_plus_terminal_live,2,failed_penultimate_plus_terminal_live_s2,runs/failed_penultimate_plus_terminal_live/seed_2/summary.json,"-2,-1",detached_local_field,keep_live_norm,live_onpolicy,success,,0.0,55,0.825925925925926,0.8481481481481481,0,0.0,0.0,1.0,0.2969028387485867,0.058037326094064375,0.15003011803846464,0.4947764777572178,19.404009099998802
failed_penultimate_plus_terminal_live,3,failed_penultimate_plus_terminal_live_s3,runs/failed_penultimate_plus_terminal_live/seed_3/summary.json,"-2,-1",detached_local_field,keep_live_norm,live_onpolicy,success,,0.0,58,0.8851851851851852,0.8851851851851852,0,0.0,0.0,1.0,0.27406517070332753,0.05385930324938435,0.13676706745205472,0.47100195449662774,18.20474379999723
failed_penultimate_plus_terminal_live,4,failed_penultimate_plus_terminal_live_s4,runs/failed_penultimate_plus_terminal_live/seed_4/summary.json,"-2,-1",detached_local_field,keep_live_norm,live_onpolicy,success,,0.0,60,0.8666666666666667,0.8666666666666667,0,0.0,0.0,1.0,0.27671029356001736,0.05445298178477972,0.14247421826287965,0.5093642596330552,18.460931500001607
preterminal_onpolicy_local_field_source_only,0,preterminal_onpolicy_local_field_source_only_s0,runs/preterminal_onpolicy_local_field_source_only/seed_0/summary.json,"-2,-1",onpolicy_live_local_field,keep_live_norm,live_onpolicy,success,,0.0,53,0.837037037037037,0.8666666666666667,0,0.0,0.0,1.0,0.3027966521797628,0.057051157887252985,0.13382070103893398,0.47322634180370143,18.34875649999958
preterminal_onpolicy_local_field_source_only,1,preterminal_onpolicy_local_field_source_only_s1,runs/preterminal_onpolicy_local_field_source_only/seed_1/summary.json,"-2,-1",onpolicy_live_local_field,keep_live_norm,live_onpolicy,success,,0.0,58,0.8851851851851852,0.8555555555555555,0,0.0,0.0,1.0,0.27979037868491735,0.05421852864464355,0.14158879746842087,0.4936193041677606,18.32194399999571
preterminal_onpolicy_local_field_source_only,2,preterminal_onpolicy_local_field_source_only_s2,runs/preterminal_onpolicy_local_field_source_only/seed_2/summary.json,"-2,-1",onpolicy_live_local_field,keep_live_norm,live_onpolicy,success,,0.0,57,0.8407407407407408,0.8518518518518519,0,0.0,0.0,1.0,0.2946767833396841,0.05634296294454765,0.1416885269523868,0.4689308779993904,18.379943599997205
preterminal_onpolicy_local_field_source_only,3,preterminal_onpolicy_local_field_source_only_s3,runs/preterminal_onpolicy_local_field_source_only/seed_3/summary.json,"-2,-1",onpolicy_live_local_field,keep_live_norm,live_onpolicy,success,,0.0,50,0.8925925925925926,0.8740740740740741,0,0.0,0.0,1.0,0.29316321447892707,0.05588011493702733,0.13459908987098704,0.4516440745703803,21.439349299998867
preterminal_onpolicy_local_field_source_only,4,preterminal_onpolicy_local_field_source_only_s4,runs/preterminal_onpolicy_local_field_source_only/seed_4/summary.json,"-2,-1",onpolicy_live_local_field,keep_live_norm,live_onpolicy,success,,0.0,50,0.8740740740740741,0.8592592592592593,0,0.0,0.0,1.0,0.29702505677769114,0.05642861077506445,0.14181261172600848,0.48831242751775605,21.425235499998962
preterminal_anchor_norm_only,0,preterminal_anchor_norm_only_s0,runs/preterminal_anchor_norm_only/seed_0/summary.json,"-2,-1",detached_local_field,use_anchor_norm,live_onpolicy,success,,0.0,56,0.837037037037037,0.8666666666666667,0,0.0,0.0,1.0,0.3090522320490796,0.05948844736266235,0.1420662214788089,0.5065758733091518,21.352426199999172
