epoch,stage,lambda_id,alpha,lambda_traj_curr,lambda_sg,train_total_loss,train_boot_loss,train_transport_loss,train_drift_loss,train_identity_loss,train_traj_curr_loss,train_semigroup_loss,train_transported_final_energy,val_one_step_transported_final_energy,val_one_step_energy_delta_vs_identity,val_one_step_fixed_point_residual_delta_vs_identity,val_configured_transported_final_energy,val_configured_energy_delta_vs_identity,val_configured_fixed_point_residual_delta_vs_identity,val_accuracy,val_output_mse
1,warmup,0.0,1.0,0.0,0.0,3.947274854337233e-06,3.947274854337233e-06,2.6285696169553465e-06,1.3187052373818871e-06,8.313557555205965e-06,0.0,0.0,0.4844506297336232,0.47660891231406244,-1.4053423277593513e-05,-6.351905264530906e-08,0.47662925607014767,6.290332807634691e-06,4.3837091600462804e-08,0.12222222222222222,0.095324593147468
2,warmup,0.0,1.0,0.0,0.0,3.822787865699453e-06,3.822787865699453e-06,2.596967811182164e-06,1.2258200545172897e-06,8.16122535781399e-06,0.0,0.0,0.46815520111942455,0.46405594373467657,-3.729275989683423e-05,-1.8566712247852844e-07,0.4640724625648951,-2.0773929678308267e-05,-9.677607127014823e-08,0.15185185185185185,0.09281864729891469
3,warmup,0.0,1.0,0.0,0.0,3.733489964112198e-06,3.733489964112198e-06,2.5662978293133437e-06,1.1671921347988553e-06,8.04164476612931e-06,0.0,0.0,0.457702112876275,0.4560596877403736,-5.007544529517238e-05,-2.5482063939502196e-07,0.456072347489141,-3.7415696527765e-05,-1.855032892445754e-07,0.15185185185185185,0.09122195263713374
4,transition,0.011731042782619834,0.9413447860869009,0.023462085565239668,0.1,3.840905942441983e-06,3.6555950760251824e-06,2.5276878211448114e-06,1.1279072548803714e-06,7.929833811209424e-06,3.869659063963779e-06,1.4953746514139613e-08,0.45113159252116,0.45080538976523193,-5.629725239209016e-05,-2.892552737785933e-07,0.4508146553315691,-4.703168605491026e-05,-2.3763548704286213e-07,0.1814814814814815,0.0901723374035248
5,transition,0.08826895721738015,0.5586552139130994,0.1765379144347603,0.1,4.583955695009216e-06,3.5759447904361233e-06,2.4760577835387517e-06,1.0998870068973716e-06,7.771306561149378e-06,1.6560067679281914e-06,2.9697797103961335e-07,0.44669055789884987,0.447154900410698,-6.014692314743053e-05,-3.105189348796345e-07,0.4471613714697075,-5.367586413790315e-05,-2.7374328649749815e-07,0.18518518518518517,0.08944300946676909
6,transition,0.1,0.5,0.2,0.1,4.561132649073556e-06,3.500820777923589e-06,2.4224859260341893e-06,1.0783348518893999e-06,7.60917901793608e-06,1.3444998862228972e-06,3.0493992111779714e-07,0.44349984372752155,0.4444836238436967,-6.215353474681162e-05,-3.214018277490388e-07,0.44448787500321785,-5.790237522568242e-05,-2.965460093666246e-07,0.1925925925925926,0.08890915547568871
7,hybrid,0.1,0.5,0.2,0.1,4.473449025434518e-06,3.4349874432597295e-06,2.3711476824475023e-06,1.0638397608122274e-06,7.453435761615201e-06,1.3132312475354152e-06,3.0471756506186295e-07,0.4409963862744089,0.44241184895264535,-6.302097817345587e-05,-3.2574367468226804e-07,0.44241432743891945,-6.054249189935135e-05,-3.1046587394741314e-07,0.2037037037037037,0.08849497398616375
8,hybrid,0.1,0.5,0.2,0.1,4.393660116408362e-06,3.3730921707091874e-06,2.3232553781997325e-06,1.0498367925094549e-06,7.327389494708941e-06,1.2868814051755619e-06,3.0452715193168376e-07,0.4391610544659536,0.4407056844202796,-6.342636349415676e-05,-3.2730670866277915e-07,0.4407067077488043,-6.240303496940491e-05,-3.19894015066521e-07,0.21481481481481482,0.08815382215675474
9,hybrid,0.1,0.5,0.2,0.1,4.321266326109209e-06,3.3189584147936657e-06,2.2789280445051764e-06,1.0400303702884897e-06,7.196875424005846e-06,1.260940657066616e-06,3.0432237501635806e-07,0.4375906974340831,0.43922409214224173,-6.379650304905171e-05,-3.2841756730586104e-07,0.4392238872394255,-6.400140586526604e-05,-3.276207111082435e-07,0.22962962962962963,0.08785757772905815
10,hybrid,0.1,0.5,0.2,0.1,4.247194388920156e-06,3.2638445660245865e-06,2.2343819272610623e-06,1.0294626387635236e-06,7.0606470104625645e-06,1.2343698261293375e-06,3.0411156623446375e-07,0.4360836069389869,0.4378748700464996,-6.441909937782153e-05,-3.3051970242496675e-07,0.43787393182298995,-6.535732288748264e-05,-3.3370556926264126e-07,0.2518518518518518,0.08758785782917548
11,hybrid,0.1,0.5,0.2,0.1,4.18432050380481e-06,3.216973610751748e-06,2.195080221112114e-06,1.021893389639634e-06,6.945567683691066e-06,1.2119887121957958e-06,3.0392382244796225e-07,0.43472940191085874,0.43661929483413076,-6.493663453338572e-05,-3.319252223174692e-07,0.43661769965820924,-6.653181045490619e-05,-3.3863184674694344e-07,0.25925925925925924,0.08733684629373283
12,hybrid,0.1,0.5,0.2,0.1,4.118324175579455e-06,3.1678876868319284e-06,2.154797152885631e-06,1.0130905339462975e-06,6.8236604091991115e-06,1.1884874000877054e-06,3.0372967810074226e-07,0.43346825895694174,0.43541669548784867,-6.577330255053138e-05,-3.347246281021788e-07,0.43541470056443765,-6.776822596155085e-05,-3.4357152018171864e-07,0.26296296296296295,0.08709649375807985
13,hybrid,0.1,0.5,0.2,0.1,4.060145656399976e-06,3.1239941656328797e-06,2.1184304573755716e-06,1.005563708257309e-06,6.721034892735061e-06,1.1684634984220524e-06,3.035530180917814e-07,0.4324021718166188,0.4342568657669406,-6.688741719063085e-05,-3.388210133346923e-07,0.4342545178752611,-6.92353088701525e-05,-3.4951822620461737e-07,0.28888888888888886,0.08686475063682625
14,hybrid,0.1,0.5,0.2,0.1,4.007717510650787e-06,3.086457229808797e-06,2.084837676127571e-06,1.0016195536812262e-06,6.612625345044268e-06,1.1483031435342168e-06,3.033711763071976e-07,0.43115463983107605,0.4331293513043574,-6.772988384273759e-05,-3.41339665987071e-07,0.4331266802511975,-7.040093700266814e-05,-3.536923565438158e-07,0.2962962962962963,0.08663941623764003
15,hybrid,0.1,0.5,0.2,0.1,3.953117356643124e-06,3.0463562598048177e-06,2.051883948630408e-06,9.944723111744098e-07,6.507478851972413e-06,1.128471908909392e-06,3.031882985918734e-07,0.42995390399030464,0.43201876515563453,-6.88937353210406e-05,-3.4532575366995354e-07,0.43201596404730425,-7.16948436513265e-05,-3.5833137632611776e-07,0.3148148148148148,0.08641753177819111
16,hybrid,0.1,0.5,0.2,0.1,3.9025196454775075e-06,3.0089423134549293e-06,2.020624391981521e-06,9.883179214734082e-07,6.411840077642506e-06,1.1104572030392533e-06,3.0301883650477323e-07,0.428897240340699,0.430929217232719,-7.02400170906059e-05,-3.501162649632416e-07,0.43092631033638695,-7.314691342263924e-05,-3.6360230391355446e-07,0.32592592592592595,0.08619989144996192
17,hybrid,0.1,0.5,0.2,0.1,3.852495903145345e-06,2.9728201824336096e-06,1.9900249885610145e-06,9.827951938725949e-07,6.310618484427763e-06,1.091647437549861e-06,3.0284384758986576e-07,0.4277628966621889,0.4298521604933449,-7.186465385788932e-05,-3.561353250976934e-07,0.4298491869703893,-7.483817681347427e-05,-3.699056587748179e-07,0.32592592592592595,0.08598480502944056
18,hybrid,0.1,0.5,0.2,0.1,3.8069309353326434e-06,2.9397728848381176e-06,1.9625765050422905e-06,9.771963797958275e-07,6.218916915739419e-06,1.0749946463407882e-06,3.026742965242711e-07,0.4266619555525512,0.4287920618123571,-7.34913037384044e-05,-3.619973383311352e-07,0.428789242000838,-7.631111525746581e-05,-3.7491479393291297e-07,0.32592592592592595,0.08577311062321909
19,hybrid,0.1,0.5,0.2,0.1,3.7629309758215574e-06,2.9073535224029603e-06,1.936082306253039e-06,9.712712161499211e-07,6.134948931530031e-06,1.0591547230194878e-06,3.0251615661696627e-07,0.42557926496135884,0.4277429729085728,-7.541416169931647e-05,-3.6918868309793683e-07,0.42774015437583096,-7.823269444118264e-05,-3.8201488002123055e-07,0.3333333333333333,0.08556367741405442
20,hybrid,0.1,0.5,0.2,0.1,3.7207496825405805e-06,2.8771190199855453e-06,1.910251317643182e-06,9.668677023423637e-07,6.047450707020398e-06,1.0432512210594327e-06,3.023534764110911e-07,0.4245528215018452,0.42670393296943515,-7.75706906647744e-05,-3.773409500499854e-07,0.42670126380722007,-8.02398528798598e-05,-3.8935461501362224e-07,0.337037037037037,0.08535630073201998
21,hybrid,0.1,0.5,0.2,0.1,3.6781700362018873e-06,2.8465762910991063e-06,1.885201748614995e-06,9.613745424841113e-07,5.959152236472425e-06,1.0272967928529403e-06,3.0219162884950794e-07,0.4234102293078286,0.4256742486905083,-7.979545491876294e-05,-3.856169495313562e-07,0.42567173366351135,-8.231048191570389e-05,-3.967982042622363e-07,0.35185185185185186,0.0851508088290854
22,hybrid,0.1,0.5,0.2,0.1,3.63969403807332e-06,2.8186721913509497e-06,1.8620578963239923e-06,9.56614295026957e-07,5.881947103316697e-06,1.0131156868843547e-06,3.0203999013829903e-07,0.4224542225791731,0.4246532987953148,-8.216834357610558e-05,-3.944398665559903e-07,0.4246509511033178,-8.451603557313447e-05,-4.047412554328126e-07,0.36666666666666664,0.08494709342777819
